Season,Overall Rank,Team,Country,League Rank,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points Per Match,Expected Goals,Expected Goals Against,Expected Goal Difference,Expected Goal Difference Per Match
1997-1998,56,Hertha BSC,de,11,34,12,7,15,41,53,-12.0,43,1.26,,,,
1997-1998,57,Nantes,fr,11,34,11,8,15,35,41,-6.0,41,1.21,,,,
1997-1998,58,Bochum,de,12,34,11,8,15,41,49,-8.0,41,1.21,,,,
1997-1998,59,Montpellier,fr,12,34,10,11,13,32,42,-10.0,41,1.21,,,,
1997-1998,60,1860 Munich,de,13,34,11,8,15,43,54,-11.0,41,1.21,,,,
1997-1998,61,Salamanca,es,15,38,12,9,17,46,46,0.0,45,1.18,,,,
1997-1998,62,Racing Sant,es,14,38,12,9,17,46,55,-9.0,45,1.18,,,,
1997-1998,63,Tenerife,es,16,38,11,12,15,44,57,-13.0,45,1.18,,,,
1997-1998,64,Newcastle Utd,eng,13,38,11,11,16,35,44,-9.0,44,1.16,,,,
1997-1998,65,Compostela,es,17,38,11,11,16,56,66,-10.0,44,1.16,,,,
1997-1998,66,Tottenham,eng,14,38,11,11,16,44,56,-12.0,44,1.16,,,,
1997-1998,67,Wimbledon,eng,15,38,10,14,14,34,46,-12.0,44,1.16,,,,
1997-1998,68,Sheffield Weds,eng,16,38,12,8,18,52,67,-15.0,44,1.16,,,,
1997-1998,69,Wolfsburg,de,14,34,11,6,17,38,54,-16.0,39,1.15,,,,
1997-1998,70,M'Gladbach,de,15,34,9,11,14,54,59,-5.0,38,1.12,,,,
1997-1998,71,Karlsruher,de,16,34,9,11,14,48,60,-12.0,38,1.12,,,,
1997-1998,72,Bari,it,11,34,10,8,16,30,45,-15.0,38,1.12,,,,
1997-1998,73,Strasbourg,fr,13,34,9,10,15,39,43,-4.0,37,1.09,,,,
1997-1998,74,Empoli,it,12,34,10,7,17,50,58,-8.0,37,1.09,,,,
1997-1998,75,Piacenza,it,13,34,7,16,11,29,38,-9.0,37,1.09,,,,
1997-1998,76,Rennes,fr,14,34,9,9,16,36,48,-12.0,36,1.06,,,,
1997-1998,77,Köln,de,17,34,10,6,18,49,64,-15.0,36,1.06,,,,
1997-1998,78,Toulouse,fr,15,34,9,9,16,26,46,-20.0,36,1.06,,,,
1997-1998,79,Vicenza,it,14,34,9,9,16,36,61,-25.0,36,1.06,,,,
1997-1998,80,Oviedo,es,18,38,9,13,16,36,51,-15.0,40,1.05,,,,
1997-1998,81,Everton,eng,17,38,9,13,16,41,56,-15.0,40,1.05,,,,
1997-1998,82,Bolton,eng,18,38,9,13,16,41,61,-20.0,40,1.05,,,,
1997-1998,83,Guingamp,fr,16,34,9,8,17,30,42,-12.0,35,1.03,,,,
1997-1998,84,Brescia,it,15,34,9,8,17,45,63,-18.0,35,1.03,,,,
1997-1998,85,CP Mérida,es,19,38,9,12,17,33,53,-20.0,39,1.03,,,,
1997-1998,86,Arminia,de,18,34,8,8,18,43,56,-13.0,32,0.94,,,,
1997-1998,87,Atalanta,it,16,34,7,11,16,25,48,-23.0,32,0.94,,,,
1997-1998,88,Barnsley,eng,19,38,10,5,23,37,82,-45.0,35,0.92,,,,
1997-1998,89,Châteauroux,fr,17,34,8,7,19,31,59,-28.0,31,0.91,,,,
1997-1998,90,Crystal Palace,eng,20,38,8,9,21,37,71,-34.0,33,0.87,,,,
1997-1998,91,AS Cannes,fr,18,34,7,7,20,32,59,-27.0,28,0.82,,,,
1997-1998,92,Lecce,it,17,34,6,8,20,32,72,-40.0,26,0.76,,,,
1997-1998,93,Napoli,it,18,34,2,8,24,25,76,-51.0,14,0.41,,,,
1997-1998,94,Sporting Gijón,es,20,38,2,7,29,31,80,-49.0,13,0.34,,,,
1996-1997,1,Real Madrid,es,1,42,27,11,4,85,36,49.0,92,2.19,,,,
1996-1997,2,Barcelona,es,2,42,28,6,8,102,48,54.0,90,2.14,,,,
1996-1997,3,Bayern Munich,de,1,34,20,11,3,68,34,34.0,71,2.09,,,,
1996-1997,4,Monaco,fr,1,38,23,10,5,69,30,39.0,79,2.08,,,,
1996-1997,5,Leverkusen,de,2,34,21,6,7,69,41,28.0,69,2.03,,,,
1996-1997,6,Manchester Utd,eng,1,38,21,12,5,76,44,32.0,75,1.97,,,,
1996-1997,7,Juventus,it,1,34,17,14,3,51,24,27.0,65,1.91,,,,
1996-1997,8,Dortmund,de,3,34,19,6,9,63,41,22.0,63,1.85,,,,
1996-1997,9,Parma,it,2,34,18,9,7,41,26,15.0,63,1.85,,,,
1996-1997,10,Real Betis,es,4,42,21,14,7,81,46,35.0,77,1.83,,,,
1996-1997,11,Deportivo La Coruña,es,3,42,21,14,7,57,30,27.0,77,1.83,,,,
1996-1997,12,Stuttgart,de,4,34,18,7,9,78,40,38.0,61,1.79,,,,
1996-1997,13,Newcastle Utd,eng,2,38,19,11,8,73,40,33.0,68,1.79,,,,
1996-1997,14,Arsenal,eng,3,38,19,11,8,62,32,30.0,68,1.79,,,,
1996-1997,15,Liverpool,eng,4,38,19,11,8,62,37,25.0,68,1.79,,,,
1996-1997,16,Paris S-G,fr,2,38,18,13,7,57,31,26.0,67,1.76,,,,
1996-1997,17,Internazionale,it,3,34,15,14,5,51,35,16.0,59,1.74,,,,
1996-1997,18,Atlético Madrid,es,5,42,20,11,11,76,64,12.0,71,1.69,,,,
1996-1997,19,Nantes,fr,3,38,16,16,6,61,32,29.0,64,1.68,,,,
1996-1997,20,Bordeaux,fr,4,38,16,15,7,59,42,17.0,63,1.66,,,,
1996-1997,21,Metz,fr,5,38,17,11,10,40,30,10.0,62,1.63,,,,
1996-1997,22,Lazio,it,4,34,15,10,9,54,37,17.0,55,1.62,,,,
1996-1997,23,Auxerre,fr,6,38,17,10,11,49,32,17.0,61,1.61,,,,
1996-1997,24,Aston Villa,eng,5,38,17,10,11,47,34,13.0,61,1.61,,,,
1996-1997,25,Bastia,fr,7,38,17,10,11,54,47,7.0,61,1.61,,,,
1996-1997,26,Udinese,it,5,34,15,9,10,53,41,12.0,54,1.59,,,,
1996-1997,27,Lyon,fr,8,38,16,12,10,59,50,9.0,60,1.58,,,,
1996-1997,28,Strasbourg,fr,9,38,19,3,16,52,49,3.0,60,1.58,,,,
1996-1997,29,Sampdoria,it,6,34,14,11,9,60,46,14.0,53,1.56,,,,
1996-1997,30,Bochum,de,5,34,14,11,9,54,51,3.0,53,1.56,,,,
1996-1997,31,Chelsea,eng,6,38,16,11,11,58,55,3.0,59,1.55,,,,
1996-1997,32,Athletic Club,es,6,42,16,16,10,72,57,15.0,64,1.52,,,,
1996-1997,33,Valladolid,es,7,42,18,10,14,57,46,11.0,64,1.52,,,,
1996-1997,34,Real Sociedad,es,8,42,18,9,15,50,47,3.0,63,1.50,,,,
1996-1997,35,Sheffield Weds,eng,7,38,14,15,9,50,51,-1.0,57,1.50,,,,
1996-1997,36,Wimbledon,eng,8,38,15,11,12,49,46,3.0,56,1.47,,,,
1996-1997,37,Karlsruher,de,6,34,13,10,11,55,44,11.0,49,1.44,,,,
1996-1997,38,Bologna,it,7,34,13,10,11,50,44,6.0,49,1.44,,,,
1996-1997,39,1860 Munich,de,7,34,13,10,11,56,56,0.0,49,1.44,,,,
1996-1997,40,Werder Bremen,de,8,34,14,6,14,53,52,1.0,48,1.41,,,,
1996-1997,41,Vicenza,it,8,34,12,11,11,43,38,5.0,47,1.38,,,,
1996-1997,42,Montpellier,fr,10,38,12,15,11,40,40,0.0,51,1.34,,,,
1996-1997,43,Tenerife,es,9,42,15,11,16,69,57,12.0,56,1.33,,,,
1996-1997,44,Valencia,es,10,42,15,11,16,63,59,4.0,56,1.33,,,,
1996-1997,45,Fiorentina,it,9,34,10,15,9,46,41,5.0,45,1.32,,,,
1996-1997,46,MSV Duisburg,de,9,34,12,9,13,44,49,-5.0,45,1.32,,,,
1996-1997,47,Köln,de,10,34,13,5,16,62,62,0.0,44,1.29,,,,
1996-1997,48,Atalanta,it,10,34,11,11,12,44,46,-2.0,44,1.29,,,,
1996-1997,49,Marseille,fr,11,38,12,13,13,43,48,-5.0,49,1.29,,,,
1996-1997,50,Milan,it,11,34,11,10,13,43,45,-2.0,43,1.26,,,,
1996-1997,51,M'Gladbach,de,11,34,12,7,15,46,48,-2.0,43,1.26,,,,
1996-1997,52,Schalke 04,de,12,34,11,10,13,35,40,-5.0,43,1.26,,,,
1996-1997,53,Compostela,es,11,42,13,14,15,52,65,-13.0,53,1.26,,,,
1996-1997,54,Leicester City,eng,9,38,12,11,15,46,54,-8.0,47,1.24,,,,
1996-1997,55,Roma,it,12,34,10,11,13,46,47,-1.0,41,1.21,,,,
1996-1997,56,Guingamp,fr,12,38,11,13,14,32,36,-4.0,46,1.21,,,,
1996-1997,57,Espanyol,es,12,42,14,9,19,51,57,-6.0,51,1.21,,,,
1996-1997,58,Napoli,it,13,34,9,14,11,38,45,-7.0,41,1.21,,,,
1996-1997,59,Tottenham,eng,10,38,13,7,18,44,51,-7.0,46,1.21,,,,
1996-1997,60,Leeds United,eng,11,38,11,13,14,28,38,-10.0,46,1.21,,,,
1996-1997,61,Derby County,eng,12,38,11,13,14,45,58,-13.0,46,1.21,,,,
1996-1997,62,Hamburger SV,de,13,34,10,11,13,46,60,-14.0,41,1.21,,,,
1996-1997,63,Racing Sant,es,13,42,11,17,14,52,54,-2.0,50,1.19,,,,
1996-1997,64,Zaragoza,es,14,42,12,14,16,58,66,-8.0,50,1.19,,,,
1996-1997,65,Sporting Gijón,es,15,42,13,11,18,45,63,-18.0,50,1.19,,,,
1996-1997,66,Arminia,de,14,34,11,7,16,46,54,-8.0,40,1.18,,,,
1996-1997,67,Hansa Rostock,de,15,34,11,7,16,35,46,-11.0,40,1.18,,,,
1996-1997,68,Lens,fr,13,38,12,9,17,40,52,-12.0,45,1.18,,,,
1996-1997,69,Celta Vigo,es,16,42,12,13,17,51,54,-3.0,49,1.17,,,,
1996-1997,70,Oviedo,es,17,42,12,12,18,49,65,-16.0,48,1.14,,,,
1996-1997,71,Le Havre,fr,14,38,10,13,15,34,43,-9.0,43,1.13,,,,
1996-1997,72,Blackburn,eng,13,38,9,15,14,42,43,-1.0,42,1.11,,,,
1996-1997,73,West Ham,eng,14,38,10,12,16,39,48,-9.0,42,1.11,,,,
1996-1997,74,Everton,eng,15,38,10,12,16,44,57,-13.0,42,1.11,,,,
1996-1997,75,Cagliari,it,15,34,9,10,15,45,55,-10.0,37,1.09,,,,
1996-1997,76,Perugia,it,16,34,10,7,17,48,62,-14.0,37,1.09,,,,
1996-1997,77,Piacenza,it,14,34,7,16,11,29,45,-16.0,37,1.09,,,,
1996-1997,78,Southampton,eng,16,38,10,11,17,50,56,-6.0,41,1.08,,,,
1996-1997,79,Coventry City,eng,17,38,9,14,15,38,54,-16.0,41,1.08,,,,
1996-1997,80,AS Cannes,fr,15,38,9,14,15,25,41,-16.0,41,1.08,,,,
1996-1997,81,Rayo Vallecano,es,18,42,13,6,23,43,62,-19.0,45,1.07,,,,
1996-1997,82,Sunderland,eng,18,38,10,10,18,35,53,-18.0,40,1.05,,,,
1996-1997,83,Rennes,fr,16,38,10,10,18,40,58,-18.0,40,1.05,,,,
1996-1997,84,Extremadura,es,19,42,11,11,20,35,64,-29.0,44,1.05,,,,
1996-1997,85,Middlesbrough,eng,19,38,10,12,16,51,60,-9.0,39,1.03,,,,
1996-1997,86,Sevilla,es,20,42,12,7,23,50,69,-19.0,43,1.02,,,,
1996-1997,87,Hércules,es,21,42,12,5,25,40,77,-37.0,41,0.98,,,,
1996-1997,88,Caen,fr,17,38,7,16,15,35,46,-11.0,37,0.97,,,,
1996-1997,89,Nancy,fr,18,38,9,10,19,33,51,-18.0,37,0.97,,,,
1996-1997,90,Düsseldorf,de,16,34,9,6,19,26,57,-31.0,33,0.97,,,,
1996-1997,91,Lille,fr,19,38,8,11,19,32,58,-26.0,35,0.92,,,,
1996-1997,92,Nott'ham Forest,eng,20,38,6,16,16,31,59,-28.0,34,0.89,,,,
1996-1997,93,Freiburg,de,17,34,8,5,21,43,67,-24.0,29,0.85,,,,
1996-1997,94,Hellas Verona,it,17,34,6,9,19,38,64,-26.0,27,0.79,,,,
1996-1997,95,St. Pauli,de,18,34,7,6,21,32,69,-37.0,27,0.79,,,,
1996-1997,96,CD Logroñés,es,22,42,9,6,27,33,85,-52.0,33,0.79,,,,
1996-1997,97,Nice,fr,20,38,5,8,25,30,68,-38.0,23,0.61,,,,
1996-1997,98,Reggiana,it,18,34,2,13,19,28,67,-39.0,19,0.56,,,,
1995-1996,1,Manchester Utd,eng,1,38,25,7,6,73,35,38.0,82,2.16,,,,
1995-1996,2,Milan,it,1,34,21,10,3,60,24,36.0,73,2.15,,,,
1995-1996,3,Atlético Madrid,es,1,42,26,9,7,75,32,43.0,87,2.07,,,,
1995-1996,4,Newcastle Utd,eng,2,38,24,6,8,66,37,29.0,78,2.05,,,,
1995-1996,5,Dortmund,de,1,34,19,11,4,76,38,38.0,68,2.00,,,,
1995-1996,6,Valencia,es,2,42,26,5,11,77,51,26.0,83,1.98,,,,
1995-1996,7,Juventus,it,2,34,19,8,7,58,35,23.0,65,1.91,,,,
1995-1996,8,Barcelona,es,3,42,22,14,6,72,39,33.0,80,1.90,,,,
1995-1996,9,Auxerre,fr,1,38,22,6,10,66,30,36.0,72,1.89,,,,
1995-1996,10,Liverpool,eng,3,38,20,11,7,70,34,36.0,71,1.87,,,,
1995-1996,11,Bayern Munich,de,2,34,19,5,10,66,46,20.0,62,1.82,,,,
1995-1996,12,Paris S-G,fr,2,38,19,11,8,65,36,29.0,68,1.79,,,,
1995-1996,13,Monaco,fr,3,38,19,11,8,64,39,25.0,68,1.79,,,,
1995-1996,14,Espanyol,es,4,42,20,14,8,63,36,27.0,74,1.76,,,,
1995-1996,15,Lazio,it,3,34,17,8,9,66,38,28.0,59,1.74,,,,
1995-1996,16,Fiorentina,it,4,34,17,8,9,53,41,12.0,59,1.74,,,,
1995-1996,17,Roma,it,5,34,16,10,8,51,34,17.0,58,1.71,,,,
1995-1996,18,Tenerife,es,5,42,20,12,10,69,54,15.0,72,1.71,,,,
1995-1996,19,Parma,it,6,34,16,10,8,44,31,13.0,58,1.71,,,,
1995-1996,20,Metz,fr,4,38,18,11,9,42,30,12.0,65,1.71,,,,
1995-1996,21,Real Madrid,es,6,42,20,10,12,75,51,24.0,70,1.67,,,,
1995-1996,22,Arsenal,eng,5,38,17,12,9,49,32,17.0,63,1.66,,,,
1995-1996,23,Aston Villa,eng,4,38,18,9,11,52,35,17.0,63,1.66,,,,
1995-1996,24,Lens,fr,5,38,16,15,7,45,31,14.0,63,1.66,,,,
1995-1996,25,Schalke 04,de,3,34,14,14,6,45,36,9.0,56,1.65,,,,
1995-1996,26,Everton,eng,6,38,17,10,11,64,44,20.0,61,1.61,,,,
1995-1996,27,Blackburn,eng,7,38,18,7,13,61,47,14.0,61,1.61,,,,
1995-1996,28,Tottenham,eng,8,38,16,13,9,50,38,12.0,61,1.61,,,,
1995-1996,29,Internazionale,it,7,34,15,9,10,51,30,21.0,54,1.59,,,,
1995-1996,30,Montpellier,fr,6,38,17,9,12,51,40,11.0,60,1.58,,,,
1995-1996,31,M'Gladbach,de,4,34,15,8,11,52,51,1.0,53,1.56,,,,
1995-1996,32,Sampdoria,it,8,34,14,10,10,59,47,12.0,52,1.53,,,,
1995-1996,33,Nott'ham Forest,eng,9,38,15,13,10,50,54,-4.0,58,1.53,,,,
1995-1996,34,Real Sociedad,es,7,42,17,12,13,62,53,9.0,63,1.50,,,,
1995-1996,35,Real Betis,es,8,42,16,14,12,61,54,7.0,62,1.48,,,,
1995-1996,36,Hamburger SV,de,5,34,12,14,8,52,47,5.0,50,1.47,,,,
1995-1996,37,Deportivo La Coruña,es,9,42,16,13,13,63,44,19.0,61,1.45,,,,
1995-1996,38,Nantes,fr,7,38,14,13,11,44,42,2.0,55,1.45,,,,
1995-1996,39,Hansa Rostock,de,6,34,13,10,11,47,43,4.0,49,1.44,,,,
1995-1996,40,Vicenza,it,9,34,13,10,11,36,37,-1.0,49,1.44,,,,
1995-1996,41,Rennes,fr,8,38,13,15,10,44,41,3.0,54,1.42,,,,
1995-1996,42,Strasbourg,fr,9,38,14,12,12,46,44,2.0,54,1.42,,,,
1995-1996,43,Karlsruher,de,7,34,12,12,10,53,47,6.0,48,1.41,,,,
1995-1996,44,Compostela,es,10,42,17,8,17,47,54,-7.0,59,1.40,,,,
1995-1996,45,Guingamp,fr,10,38,13,14,11,34,33,1.0,53,1.39,,,,
1995-1996,46,West Ham,eng,10,38,14,9,15,43,52,-9.0,51,1.34,,,,
1995-1996,47,1860 Munich,de,8,34,11,12,11,52,46,6.0,45,1.32,,,,
1995-1996,48,Chelsea,eng,11,38,12,14,12,46,44,2.0,50,1.32,,,,
1995-1996,49,Werder Bremen,de,9,34,10,14,10,39,42,-3.0,44,1.29,,,,
1995-1996,50,Lyon,fr,11,38,10,18,10,41,41,0.0,48,1.26,,,,
1995-1996,51,Stuttgart,de,10,34,10,13,11,59,62,-3.0,43,1.26,,,,
1995-1996,52,Celta Vigo,es,11,42,12,16,14,49,51,-2.0,52,1.24,,,,
1995-1996,53,Freiburg,de,11,34,11,9,14,30,41,-11.0,42,1.24,,,,
1995-1996,54,Udinese,it,11,34,11,8,15,41,49,-8.0,41,1.21,,,,
1995-1996,55,Napoli,it,12,34,10,11,13,28,41,-13.0,41,1.21,,,,
1995-1996,56,Cagliari,it,10,34,11,8,15,34,47,-13.0,41,1.21,,,,
1995-1996,57,Köln,de,12,34,9,13,12,33,35,-2.0,40,1.18,,,,
1995-1996,58,Nice,fr,12,38,12,9,17,37,44,-7.0,45,1.18,,,,
1995-1996,59,Düsseldorf,de,13,34,8,16,10,40,47,-7.0,40,1.18,,,,
1995-1996,60,Le Havre,fr,13,38,11,12,15,33,45,-12.0,45,1.18,,,,
1995-1996,61,AS Cannes,fr,14,38,12,8,18,45,51,-6.0,44,1.16,,,,
1995-1996,62,Bastia,fr,15,38,12,8,18,45,55,-10.0,44,1.16,,,,
1995-1996,63,Atalanta,it,13,34,11,6,17,38,50,-12.0,39,1.15,,,,
1995-1996,64,Zaragoza,es,13,42,11,15,16,51,59,-8.0,48,1.14,,,,
1995-1996,65,Athletic Club,es,15,42,11,15,16,44,55,-11.0,48,1.14,,,,
1995-1996,66,Sevilla,es,12,42,11,15,16,43,55,-12.0,48,1.14,,,,
1995-1996,67,Oviedo,es,14,42,12,12,18,48,67,-19.0,48,1.14,,,,
1995-1996,68,Middlesbrough,eng,12,38,11,10,17,35,50,-15.0,43,1.13,,,,
1995-1996,69,Leeds United,eng,13,38,12,7,19,40,57,-17.0,43,1.13,,,,
1995-1996,70,Leverkusen,de,14,34,8,14,12,37,38,-1.0,38,1.12,,,,
1995-1996,71,Valladolid,es,16,42,11,14,17,57,62,-5.0,47,1.12,,,,
1995-1996,72,St. Pauli,de,15,34,9,11,14,43,51,-8.0,38,1.12,,,,
1995-1996,73,Racing Sant,es,17,42,11,14,17,47,69,-22.0,47,1.12,,,,
1995-1996,74,Bordeaux,fr,16,38,11,9,18,44,52,-8.0,42,1.11,,,,
1995-1996,75,Sporting Gijón,es,18,42,13,7,22,51,60,-9.0,46,1.10,,,,
1995-1996,76,Piacenza,it,14,34,9,10,15,31,48,-17.0,37,1.09,,,,
1995-1996,77,Wimbledon,eng,14,38,10,11,17,55,70,-15.0,41,1.08,,,,
1995-1996,78,Kaiserslautern,de,16,34,6,18,10,31,37,-6.0,36,1.06,,,,
1995-1996,79,Sheffield Weds,eng,15,38,10,10,18,48,61,-13.0,40,1.05,,,,
1995-1996,80,Rayo Vallecano,es,19,42,12,8,22,47,75,-28.0,44,1.05,,,,
1995-1996,81,Lille,fr,17,38,9,12,17,27,50,-23.0,39,1.03,,,,
1995-1996,82,Coventry City,eng,16,38,8,14,16,42,60,-18.0,38,1.00,,,,
1995-1996,83,Southampton,eng,17,38,9,11,18,34,52,-18.0,38,1.00,,,,
1995-1996,84,Gueugnon,fr,18,38,8,14,16,27,46,-19.0,38,1.00,,,,
1995-1996,85,CP Mérida,es,21,42,10,12,20,37,62,-25.0,42,1.00,,,,
1995-1996,86,Manchester City,eng,18,38,9,11,18,33,58,-25.0,38,1.00,,,,
1995-1996,87,Albacete,es,20,42,10,12,20,55,81,-26.0,42,1.00,,,,
1995-1996,88,Bari,it,15,34,8,8,18,49,71,-22.0,32,0.94,,,,
1995-1996,89,Eint Frankfurt,de,17,34,7,11,16,43,68,-25.0,32,0.94,,,,
1995-1996,90,Saint-Étienne,fr,19,38,6,16,16,36,59,-23.0,34,0.89,,,,
1995-1996,91,FC Martigues,fr,20,38,9,7,22,31,58,-27.0,34,0.89,,,,
1995-1996,92,QPR,eng,19,38,9,6,23,38,57,-19.0,33,0.87,,,,
1995-1996,93,Torino,it,16,34,6,11,17,28,46,-18.0,29,0.85,,,,
1995-1996,94,Cremonese,it,17,34,5,12,17,37,57,-20.0,27,0.79,,,,
1995-1996,95,Salamanca,es,22,42,8,9,25,53,82,-29.0,33,0.79,,,,
1995-1996,96,Uerdingen,de,18,34,5,11,18,33,56,-23.0,26,0.76,,,,
1995-1996,97,Bolton,eng,20,38,8,5,25,39,71,-32.0,29,0.76,,,,
1995-1996,98,Padova,it,18,34,7,3,24,41,79,-38.0,24,0.71,,,,
