Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,link,id,team
Manolo Gabbiadini,it ITA,"FW,MF",30.0,35,27,2354.0,26.2,7.0,2.0,9.0,7.0,0.0,0.0,6.0,0.0,7.4,7.4,4.5,11.9,32.0,55.0,111.0,0.27,0.08,0.34,0.27,0.34,0.28,0.17,0.45,0.28,0.45,Matches,/en/players/8f866fe8/Manolo-Gabbiadini,8f866fe8,Sampdoria
Filip Đuričić,rs SRB,"MF,FW",30.0,32,27,2171.0,24.1,3.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,2.7,2.7,1.9,4.6,39.0,77.0,83.0,0.12,0.0,0.12,0.12,0.12,0.11,0.08,0.19,0.11,0.19,Matches,/en/players/eccbe56a/Filip-Djuricic,eccbe56a,Sampdoria
Emil Audero,it ITA,GK,25.0,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/649b01d8/Emil-Audero,649b01d8,Sampdoria
Bruno Amione,ar ARG,DF,20.0,26,25,2086.0,23.2,1.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,0.9,0.9,0.6,1.5,11.0,54.0,9.0,0.04,0.04,0.09,0.04,0.09,0.04,0.03,0.06,0.04,0.06,Matches,/en/players/2df7cc43/Bruno-Amione,2df7cc43,Sampdoria
Harry Winks,eng ENG,MF,26.0,20,19,1716.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,1.3,1.8,19.0,117.0,17.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches,/en/players/2f7acede/Harry-Winks,2f7acede,Sampdoria
Bram Nuytinck,nl NED,DF,32.0,19,19,1498.0,16.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.3,0.5,4.0,23.0,3.0,0.0,0.06,0.06,0.0,0.06,0.02,0.02,0.03,0.02,0.03,Matches,/en/players/e33f36d5/Bram-Nuytinck,e33f36d5,Sampdoria
Alessandro Zanoli,it ITA,DF,21.0,22,16,1540.0,17.1,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,2.6,2.6,1.2,3.8,50.0,36.0,60.0,0.12,0.18,0.29,0.12,0.29,0.15,0.07,0.22,0.15,0.22,Matches,/en/players/3b12b11f/Alessandro-Zanoli,3b12b11f,Sampdoria
Omar Colley,gm GAM,DF,29.0,16,15,1384.0,15.4,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,0.0,1.2,3.0,33.0,2.0,0.07,0.0,0.07,0.07,0.07,0.08,0.0,0.08,0.08,0.08,Matches,/en/players/8b95acda/Omar-Colley,8b95acda,Sampdoria
Bartosz Bereszyński,pl POL,DF,30.0,15,15,1198.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,20.0,44.0,40.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,/en/players/61b3978f/Bartosz-Bereszynski,61b3978f,Sampdoria
Sam Lammers,nl NED,FW,25.0,19,13,1100.0,12.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.5,2.5,1.2,3.7,17.0,19.0,65.0,0.08,0.08,0.16,0.08,0.16,0.2,0.1,0.3,0.2,0.3,Matches,/en/players/c283ddef/Sam-Lammers,c283ddef,Sampdoria
Francesco Caputo,it ITA,FW,34.0,15,13,1094.0,12.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.9,1.9,0.5,2.4,6.0,11.0,76.0,0.08,0.0,0.08,0.08,0.08,0.15,0.04,0.19,0.15,0.19,Matches,/en/players/5bd72174/Francesco-Caputo,5bd72174,Sampdoria
Abdelhamid Sabiri,ma MAR,"MF,FW",25.0,18,12,1069.0,11.9,2.0,0.0,2.0,1.0,1.0,2.0,5.0,0.0,3.0,1.4,1.4,2.8,7.0,49.0,54.0,0.17,0.0,0.17,0.08,0.08,0.26,0.12,0.38,0.11,0.23,Matches,/en/players/4830e0af/Abdelhamid-Sabiri,4830e0af,Sampdoria
Jeison Murillo,co COL,DF,30.0,20,12,1057.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.2,0.2,0.0,0.2,8.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,/en/players/b233e8e4/Jeison-Murillo,b233e8e4,Sampdoria
Alex Ferrari,it ITA,DF,28.0,12,10,868.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.4,0.5,7.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches,/en/players/d0dbca9f/Alex-Ferrari,d0dbca9f,Sampdoria
Nicola Ravaglia,it ITA,GK,33.0,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/d7a35008/Nicola-Ravaglia,d7a35008,Sampdoria
Mickaël Cuisance,fr FRA,MF,22.0,12,9,618.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.7,1.2,11.0,23.0,31.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.17,0.07,0.17,Matches,/en/players/5722eced/Mickael-Cuisance,5722eced,Sampdoria
Ronaldo Vieira,gw GNB,MF,24.0,16,8,815.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,/en/players/75e60d75/Ronaldo-Vieira,75e60d75,Sampdoria
Koray Günter,de GER,DF,27.0,10,8,776.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,4.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,/en/players/f1f1f238/Koray-Gunter,f1f1f238,Sampdoria
Gonzalo Villar,es ESP,MF,24.0,15,8,696.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,/en/players/bdc74a8f/Gonzalo-Villar,bdc74a8f,Sampdoria
Fabio Quagliarella,it ITA,FW,39.0,23,7,800.0,8.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.8,2.8,0.7,3.5,5.0,25.0,72.0,0.11,0.11,0.23,0.11,0.23,0.31,0.08,0.4,0.31,0.4,Matches,/en/players/ee4f2f3b/Fabio-Quagliarella,ee4f2f3b,Sampdoria
