id,futbin_name,ustat_name,score
224438,Adam Buksa,Adam Buksa,100.0
226627,Takumi Minamino,Takumi Minamino,100.0
227232,Florian Sotoca,Florian Sotoca,100.0
230020,Pierre Lees-Melou,Pierre Lees-Melou,100.0
231089,Ibrahima Sissoko,Ibrahima Sissoko,100.0
236898,Michel Aebischer,Michel Aebischer,100.0
197813,Jonas Martin,Jonas Martin,100.0
254548,Melvin Bard,Melvin Bard,100.0
213367,Laurent Abergel,Laurent Abergel,100.0
223848,Sergej Milinkovic-Savic,Sergej Milinkovic-Savic,100.0
192505,Romelu Lukaku,Romelu Lukaku,100.0
192387,Ciro Immobile,Ciro Immobile,100.0
231478,Lautaro Martínez,Lautaro Martínez,100.0
186153,Wojciech Szczesny,Wojciech Szczesny,100.0
215698,Mike Maignan,Mike Maignan,100.0
236245,Alberth Elis,Alberth Elis,100.0
193338,Mattia Destro,Mattia Destro,100.0
206003,Yvon Mvogo,Yvon Mvogo,100.0
243702,Djed Spence,Djed Spence,100.0
190761,Tolgay Arslan,Tolgay Arslan,100.0
193091,Bram Nuytinck,Bram Nuytinck,100.0
235454,Malang Sarr,Malang Sarr,100.0
211575,André Filipe Tavares Gomes,André Gomes,100.0
208509,Thomas Foket,Thomas Foket,100.0
257278,Arthur Theate,Arthur Theate,100.0
212692,Rony Lopes,Rony Lopes,100.0
256769,Adrien Truffert,Adrien Truffert,100.0
212811,Mario Lemina,Mario Lemina,100.0
256035,Kamaldeen Sulemana,Kamaldeen Sulemana,100.0
212947,Jimmy Cabot,Jimmy Cabot,100.0
258683,Ivan Ilic,Ivan Ilic,100.0
229971,Fabien Centonze,Fabien Centonze,100.0
230899,Ademola Lookman,Ademola Lookman,100.0
219391,Gonzalo Escalante,Gonzalo Escalante,100.0
215333,Duván Zapata,Duván Zapata,100.0
216816,Giovanni Simeone,Giovanni Simeone,100.0
229857,Stefano Sensi,Stefano Sensi,100.0
224158,Sofyan Amrabat,Sofyan Amrabat,100.0
201046,Riccardo Saponara,Riccardo Saponara,100.0
224030,Maxime Lopez,Maxime Lopez,100.0
195272,Faraoni,Marco Faraoni,100.0
240938,Junior Messias,Junior Messias,100.0
241390,Eljif Elmas,Eljif Elmas,100.0
198946,Danilo D'Ambrosio,Danilo D'Ambrosio,100.0
193061,Roberto Pereyra,Roberto Pereyra,100.0
242664,Alexis Saelemaekers,Alexis Saelemaekers,100.0
251470,De Ketelaere,Charles De Ketelaere,100.0
211515,Pierluigi Gollini,Pierluigi Gollini,100.0
228413,Emil Audero,Emil Audero,100.0
189125,Giacomo Bonaventura,Giacomo Bonaventura,100.0
255654,Pierre Kalulu,Pierre Kalulu Kyatengwa,100.0
234711,Josip Brekalo,Josip Brekalo,100.0
247257,Ibañez,Ibañez,100.0
253002,Giacomo Raspadori,Giacomo Raspadori,100.0
241585,Igor,Igor Julio,100.0
189505,Pedro,Pedro,100.0
159261,Fabio Quagliarella,Fabio Quagliarella,100.0
246242,Boulaye Dia,Boulaye Dia,100.0
251892,Beto,Beto,100.0
244316,Luís Maximiano,Luís Maximiano,100.0
237086,Min Jae Kim,Kim Min-Jae,100.0
216150,Davide Zappacosta,Davide Zappacosta,100.0
190745,Marco Silvestri,Marco Silvestri,100.0
236610,Moise Kean,Moise Kean,100.0
226268,Federico Dimarco,Federico Dimarco,100.0
202848,Gianluca Caprari,Gianluca Caprari,100.0
189053,Francesco Caputo,Francesco Caputo,100.0
240716,Mathías Olivera,Mathías Olivera,100.0
202325,Diego Demme,Diego Demme,100.0
230899,Ademola Lookman,Ademola Lookman,100.0
238160,Merih Demiral,Merih Demiral,100.0
178007,Miguel Veloso,Miguel Veloso,100.0
251804,Sergiño Dest,Sergiño Dest,100.0
252802,Wilfried Singo,Wilfried Stephane Singo,100.0
236368,Giulio Maggiore,Giulio Maggiore,100.0
190813,El Shaarawy,Stephan El Shaarawy,100.0
237819,Nicolás Domínguez,Nicolás Domínguez,100.0
239613,Matteo Pessina,Matteo Pessina,100.0
233556,Riccardo Orsolini,Riccardo Orsolini,100.0
213242,Adrien Tameze,Adrien Tameze,100.0
225014,Gaetano Castrovilli,Gaetano Castrovilli,100.0
246186,Arthur Cabral,Arthur Cabral,100.0
242374,Musa Barrow,Musa Barrow,100.0
193361,Roberto Soriano,Roberto Soriano,100.0
156616,Franck Ribéry,Franck Ribéry,100.0
239807,Davide Frattesi,Davide Frattesi,100.0
211515,Pierluigi Gollini,Pierluigi Gollini,100.0
168435,Salvatore Sirigu,Salvatore Sirigu,100.0
189053,Francesco Caputo,Francesco Caputo,100.0
170320,Lorenzo De Silvestri,Lorenzo De Silvestri,100.0
168435,Salvatore Sirigu,Salvatore Sirigu,100.0
205812,Pietro Terracciano,Pietro Terracciano,100.0
240091,Guglielmo Vicario,Guglielmo Vicario,100.0
228708,Martínez Quarta,Lucas Martínez Quarta,100.0
204614,Mário Rui,Mário Rui,100.0
225116,Alex Meret,Alex Meret,100.0
202851,Gregoire Defrel,Gregoire Defrel,100.0
237640,Nedim Bajrami,Nedim Bajrami,100.0
204451,Koray Günter,Koray Günter,100.0
203551,Alessandro Florenzi,Alessandro Florenzi,100.0
210008,Adrien Rabiot,Adrien Rabiot,100.0
238744,Weston McKennie,Weston McKennie,100.0
213135,Divock Origi,Divock Origi,100.0
229582,Gianluca Mancini,Gianluca Mancini,100.0
189881,Chris Smalling,Chris Smalling,100.0
214979,Juan Musso,Juan Musso,100.0
216409,Matteo Politano,Matteo Politano,100.0
213814,Di Francesco,Federico Di Francesco,100.0
221992,Hirving Lozano,Hirving Lozano,100.0
215363,Lorenzo Montipò,Lorenzo Montipò,100.0
216435,Stanislav Lobotka,Stanislav Lobotka,100.0
192883,Henrikh Mkhitaryan,Henrikh Mkhitaryan,100.0
215689,Andrea Petagna,Andrea Petagna,100.0
199304,Danilo,Danilo,100.0
239770,Nicolò Casale,Nicolò Casale,100.0
178509,Olivier Giroud,Olivier Giroud,100.0
199845,Francesco Acerbi,Francesco Acerbi,100.0
231352,Tammy Abraham,Tammy Abraham,100.0
199110,Luis Muriel,Luis Muriel,100.0
202884,Leonardo Spinazzola,Leonardo Spinazzola,100.0
178005,Rui Patrício,Rui Patrício,100.0
233096,Denzel Dumfries,Denzel Dumfries,100.0
217870,Giovanni Di Lorenzo,Giovanni Di Lorenzo,100.0
223697,Robin Gosens,Robin Gosens,100.0
226753,André Onana,André Onana,100.0
224987,Ivan Provedel,Ivan Provedel,100.0
231835,Thomas Henry,Thomas Henry,100.0
222077,Manuel Locatelli,Manuel Locatelli,100.0
224490,Zeki Çelik,Mehmet Zeki Çelik,100.0
207439,Leandro Paredes,Leandro Paredes,100.0
201389,Cristiano Biraghi,Cristiano Biraghi,100.0
212153,Roberto Gagliardini,Roberto Gagliardini,100.0
235374,Manuel Lazzari,Manuel Lazzari,100.0
235569,Tanguy Ndombele,Tanguy NDombele Alvaro,100.0
211320,Daniele Rugani,Daniele Rugani,100.0
205600,Samuel Umtiti,Samuel Umtiti,100.0
220502,Mattia Zaccagni,Mattia Zaccagni,100.0
201995,Felipe Anderson,Felipe Anderson,100.0
232432,Luka Jovic,Luka Jovic,100.0
205175,Arkadiusz Milik,Arkadiusz Milik,100.0
198009,Mattia Perin,Mattia Perin,100.0
140233,Ochoa,Guillermo Ochoa,100.0
184392,Matteo Darmian,Matteo Darmian,100.0
210413,Alessio Romagnoli,Alessio Romagnoli,100.0
228881,Davide Calabria,Davide Calabria,100.0
225085,Jonathan Bamba,Jonathan Bamba,100.0
163489,Andrea Consigli,Andrea Consigli,100.0
205659,Alessio Cragno,Alessio Cragno,100.0
244263,Amir Rrahmani,Amir Rrahmani,100.0
191043,Alex Sandro,Alex Sandro,100.0
220093,Hans Hateboer,Hans Hateboer,100.0
173221,Antonio Candreva,Antonio Candreva,100.0
208268,Bryan Cristante,Bryan Cristante,100.0
202477,Deulofeu,Gerard Deulofeu,100.0
222558,Rick Karsdorp,Rick Karsdorp,100.0
215330,Joaquín Correa,Joaquín Correa,100.0
208461,Marten de Roon,Marten de Roon,100.0
240679,Teun Koopmeiners,Teun Koopmeiners,100.0
181291,Georginio Wijnaldum,Georginio Wijnaldum,100.0
211361,Danilo Cataldi,Danilo Cataldi,100.0
240690,Nicolás González,Nicolás González,100.0
206058,Mattia De Sciglio,Mattia De Sciglio,100.0
223898,Paul Bernardoni,Paul Bernardoni,100.0
253290,Matias Viña,Matias Viña,100.0
219466,Birger Meling,Birger Meling,100.0
215353,Lucas Alario,Lucas Alario,100.0
250723,Koné,Kouadio Kone,100.0
228579,Benjamin Henrichs,Benjamin Henrichs,100.0
225711,Abdou Diallo,Abdou Diallo,100.0
207791,Yussuf Poulsen,Yussuf Poulsen,100.0
244067,Maxence Lacroix,Maxence Lacroix,100.0
221491,Nico Elvedi,Nico Elvedi,100.0
222493,Marvin Friedrich,Marvin Friedrich,100.0
223724,Stefan Lainer,Stefan Lainer,100.0
204024,Christoph Kramer,Christoph Kramer,100.0
230065,Suat Serdar,Suat Serdar,100.0
224425,Marius Wolf,Marius Wolf,100.0
231227,Niklas Dorsch,Niklas Dorsch,100.0
226789,Angelo Fulgini,Angelo Fulgini,100.0
247182,Tuta,Tuta,100.0
231366,Philipp Lienhart,Philipp Lienhart,100.0
242187,Christoph Baumgartner,Christoph Baumgartner,100.0
208334,Jonas Hector,Jonas Hector,100.0
237679,Kolo Muani,Randal Kolo Muani,100.0
223550,Jonas Omlin,Jonas Omlin,100.0
219733,Ludovic Ajorque,Ludovic Ajorque,100.0
256197,Piero Hincapié,Piero Hincapié,100.0
210665,Marcel Halstenberg,Marcel Halstenberg,100.0
238463,Amadou Haidara,Amadou Haidara,100.0
243854,Mohamed Simakan,Mohamed Simakan,100.0
230084,Lukas Nmecha,Lukas Nmecha,100.0
240740,Callum Hudson-Odoi,Callum Hudson-Odoi,100.0
242000,Konstantinos Mavropanos,Konstantinos Mavropanos,100.0
243388,Borna Sosa,Borna Sosa,100.0
